title,author,isbn,isbn13,year_published,publisher,pages,average_rating,ratings_count,description,categories,genres,source,google_id,goodreads_id,user_rating,user_read_date,user_shelves,popularity_score
#MeToo,Patricia Dixon,1504070062,9781504070065,2020,Open Road Media,324,0.0,0,"A woman is caught in a web of deceit when her ex is convicted of rape in this British psychological thriller based on true events. When Billie receives a desperate letter from the man she loves, she returns home to Manchester, determined to help him. Convicted of a crime he swears he didn’t commit, Stan is trying to make his case from prison. Meanwhile, his accuser, Kelly, is struggling to cope after an ordeal that has left her traumatized and isolated. A private detective is looking for vital evidence that would set Stan free—and Billie is enlisted to help. Then her faith in Stan begins to waver when she hears Kelly’s version of events. There may be two sides to every story, but there’s only one truth. Unfortunately for Billie, the deeper she digs, the more lies are unearthed.",['Fiction'],['Mystery'],mystery,i4k8EAAAQBAJ,,0,,[],0.0
Venomous,Karl Hill,1504070569,9781504070560,2020,Open Road Media,408,0.0,0,"A Scottish special forces officer is recruited to help rescue the prime minister’s daughter in this thriller by the author of Violation. Tasked with uncovering crucial information from a psychopath nicknamed “The Red Serpent,” Adam Black infiltrates one of Scotland’s hardest prisons. A young woman has been abducted and the Red Serpent may have the answers to her whereabouts. But the clock is ticking. When Black is betrayed, his only option is to break out prison in order to find the woman and the identity of her abductor. Can Black rescue the woman and stop a deranged psychopath? Will he make it out of this alive? Black knows one thing for sure—there will be bloodshed. A great choice for fans of Lee Child, Mark Dawson, James Deegan, and Rob Sinclair. Venomous can be read as the third entry in the Adam Black Series or as an unmissable stand-alone.",['Fiction'],['Mystery'],mystery,5ok8EAAAQBAJ,,0,,[],0.0
Escape to Perdition,James Silvester,1504071727,9781504071727,2021,Open Road Media,288,0.0,0,"A secret agent in Prague faces love, death, and a crisis of conscience in this gripping international thriller. Herbert Biely, aged hero of the Prague Spring, stands poised to reunite the Czech and Slovak Republics years after the Velvet Revolution. But other parties have their own agendas and plans for the fate of the region. A shadowy collective exists that will do anything to preserve the status quo. Peter Lowe’s mission is to prevent reunification by any means possible. But Peter is not all that he seems. A troubled man desperate to escape the past, he’s beginning to question the cause, his assignment, his superiors, and himself. And when he falls in love with his intended target, the danger escalates. As alliances shift and the body count rises, Prague becomes the focal point for intrigue on an international scale.",['Fiction'],['Mystery'],mystery,ooo8EAAAQBAJ,,0,,[],0.0
The Last Man,Robert McNeil,1504071085,9781504071086,2021,Open Road Media,386,0.0,0,"A cold case heats up as a British police detective investigates the murder of a union activist—while MI5 puts the pressure on . . . DCI Alex Fleming has returned to work after convalescent leave to find that the Assistant Chief Constable wants him to review an old cold case. William Stroud, a union activist, was shot dead five years ago after a strike at the Atomic Weapons Establishment organised by union leader Bill Kauffman. No one had ever been arrested for the crime. When Fleming later finds out that MI5 have an interest in the case and in what’s going on at the AWE, he realises how deep he’s going to have to dig. After speaking to the officer who originally investigated the case, he learns that another activist was the main suspect. But as the body count rises and Fleming uncovers an extramarital affair, he suspects the answers may lie in a very different place . . .",['Fiction'],['Mystery'],mystery,3IU8EAAAQBAJ,,0,,[],0.0
The Hard Way,Duncan Brockwell,150406965X,9781504069656,2021,Open Road Media,351,0.0,0,"The murder of a popular radio host draws two London detectives into a complex and dangerous investigation in this tense thriller. Detective Inspector Amanda Hayes and Detective Sergeant Rachel Miller are called in to investigate a triple homicide at a radio station. One of the victims, celebrity presenter Colin Fisher, is bound to cause a stir. But was he the intended target? Meanwhile, Hayes and Miller are tripped up on another murder case when their suspect turns out to be the wrong man. Drawn deep into London’s shadowy underworld, they find themselves investigating a series of crimes, all of which may be linked. But what ties the murder of the radio host with a Turkish casino owner and the killing of two employees at a valve factory? Hayes and Miller find themselves in a race against time to get to the truth before more people are hurt . . .",['Fiction'],['Mystery'],mystery,NYk8EAAAQBAJ,,0,,[],0.0
The Fuhrer's Orphans,David Laws,1504070968,9781504070966,2020,Open Road Media,370,0.0,0,"In this moving novel based on true events, a teacher and a British spy discover a group of children hiding from the Nazis in WWII Munich. When their parents are taken to concentration camps, twenty-seven children are left alone, hungry, and scared. Claudia Kellner, a German elementary school teacher, discovers the group hiding in a deserted Munich railroad yard. Only able to hide two of them in her home, she is desperate to find shelter for the others. Meanwhile, British spy Peter Chesham has penetrated Third Reich territory. But his critical mission is interrupted when he discovers the orphans’ hiding place. Following through on his orders would have fatal consequences for them. But giving up could mean losing the war. Now Peter and Claudia must work together, attempting an impossible rescue operation with the children’s lives—and the fate of the world—at stake.",['Fiction'],['Mystery'],mystery,Uoo8EAAAQBAJ,,0,,[],0.0
The Prague Ultimatum,James Silvester,1504071719,9781504071710,2021,Open Road Media,336,0.0,0,"The fate of the world hangs in the balance of a newly reunified Czechoslovakia in this political thriller by the author of Escape to Perdition. With the anniversary of the Prague Spring approaching, panic overshadows the celebration as international terrorism and violent extremists threaten to destroy the country. Captain Lincoln Stone, a disgraced British officer, humiliatingly scapegoated by his government, finds himself in the thick of the action. Plucked from his purgatory, Stone is offered exoneration in return for his aid of the Czechoslovak Prime Minister. Stone, resentful of his treatment and determined to prove himself, is driven by deeper motives than those of his superiors. But as the country descends into chaos, he must find a way to survive at the epicentre of a deadly storm. Cut off from the international community, Czechoslovakia's fate, and that of the world, hangs on Stone and the outcome to the Prague Ultimatum . . .",['Fiction'],['Mystery'],mystery,wIU8EAAAQBAJ,,0,,[],0.0
The Entrepreneur,Louise Worthington,1504072472,9781504072472,2021,Open Road Media,302,0.0,0,"One million pounds. Five contestants. A killer among them. A brilliantly dark and gripping psychological thriller from the author of Dr. Glass. Five strangers are brought together on a reality TV show, The Entrepreneur, to win a cash prize that could change their lives forever. When the five contestants move into a remote house and filming begins, their business plans are unveiled. One contestant wins a task by selling murderabilia, and it sets in motion a chain of events that will test the sanity of each contender and put them all in danger. Then one of the participants is found dead, and it becomes apparent that whoever is behind the killing has every intention of winning . . . Praise for Dr. Glass “A gripping and disturbing story with well-developed characters and a mind-blowing plot.” —The Eclectic Review “A captivating read, full of menace and tension from the very start . . . a stunning and haunting novel, one which will have me thinking about the experiences and characters for long after I’ve finished it. It’s a 4.5 star read for me and I’m recommending this to anyone who enjoys a tense and disturbing read.” —Booky Charm",['Fiction'],['Mystery'],mystery,ZIY8EAAAQBAJ,,0,,[],0.0
The Last Thing She Did,Kate Mitchell,1504071131,9781504071130,2020,Open Road Media,287,0.0,0,"A long-ago kidnapping is about to upend the lives of a perpetrator, a witness, and a victim who still doesn’t know the truth . . . When a robbery turns into a kidnapping, the lives of those involved are changed forever. Conor and Dean are on the run with four-year-old Rosie. When they turn on one another, Conor takes drastic action to protect Rosie. He decides to keep her with him rather than to leave her behind and risk getting caught. His only option is to return to his childhood home in Ireland, passing her off as his daughter. Meanwhile, Sylvia, who witnessed the robbery, has her own secrets to hide. She becomes obsessed with Rosie and will stop at nothing to find the child. Years later, Rosie starts to uncover the lies, but nothing is as it seems. Is Sylvia prepared for what she will discover? And will she protect Rosie—or reveal the shocking truth?",['Fiction'],['Mystery'],mystery,YIo8EAAAQBAJ,,0,,[],0.0
The Sister Veronica Mysteries Books One to Three,Sarah Sheridan,1504075080,9781504075084,2022,Open Road Media,647,0.0,0,"The first three novels in the series starring a London nun with a nose for crime—now in one volume! This compelling mystery collection includes: The Convent Meet Sister Veronica Angelica, a secret whodunit writer and lover of custard cream biscuits. When she discovers a dead man on the grounds of the Catholic Youth Hostel next door to her convent, Veronica can see he was brutally murdered. What she doesn’t know is that the victim had a secret he was about to confess . . . The Disciple When a two-month-old baby girl is left on the convent doorstep one night, wrapped up in dirty blankets and placed in an open cardboard box, Sister Veronica steps in to help solve the mystery. The one confounding clue is a tarot card left with the baby . . . “Such a good read . . . A cosy mystery but has, like Christie’s Miss Marple books, a very dark side.” —Love Books, Read Books The Tormented Sister Veronica has arrived at her cousin’s mansion just in time for Christmas, and she didn’t realise so many other people had been invited. It quickly becomes clear how dysfunctional her extended family is. But events take a darker turn when her cousin’s husband collapses and dies in the kitchen . . .",['Fiction'],['Mystery'],mystery,y6hhEAAAQBAJ,,0,,[],0.0
The Adam Black Thrillers Books One to Three,Karl Hill,1504070577,9781504070577,2021,Open Road Media,1049,0.0,0,"Together in one collection: the first three adventures of an ex-SAS captain turned lawyer who administers his own brand of justice. Unleashed Adam Black, an ex SAS Captain, is randomly attacked while out for his nightly jog in the quiet Scottish village of Eaglesham. But Black does not take the ambush lying down and while defending himself kills two of the three attackers. Although the police decide not to press charges against Black, the men who assaulted him have links to a vicious criminal, Peter Grant. Swearing revenge, Grant begins a campaign of terror against Black, his wife and daughter. Black refuses to be intimidated. But at what cost? Violation When Adam Black learns he is the sole beneficiary of a stranger’s will, he feels compelled to investigate. But to uncover the truth, Black will travel a violent and treacherous path. A path which leads to devastating consequences. To endure this challenge, Black must once again resort to the skill he is an expert in; killing for survival. But will Black make it back in one piece or will it result in his undoing? Venomous Black must infiltrate one of Scotland’s hardest prisons to uncover crucial information from a psychopath nicknamed the Red Serpent. He may know the whereabouts of a recently abducted young woman. Unfortunately, the clock is ticking. When Black is betrayed, he’s forced to escape the prison to find the woman and the identity of her abductor. But can Black rescue the woman and stop a deranged psychopath? And will he make it out of this alive? Black knows one thing for sure: there will be bloodshed. The Adam Black Series is the perfect read for fans of authors like Mark Dawson, James Deegan, and Rob Sinclair.",['Fiction'],['Mystery'],mystery,7ok8EAAAQBAJ,,0,,[],0.0
The Adam Black Thrillers Books One to Five,Karl Hill,1504076818,9781504076814,2022,Open Road Media,1573,0.0,0,"Five novels of action and suspense in one volume, featuring the special forces veteran who’s now a lawyer—but still combat-ready. Unleashed An ex-SAS captain fights back and survives a violent attack in his quiet Scottish village—only to wind up with himself and his family in the crosshairs of a vengeful Glaswegian gangster . . . Violation When Adam Black learns he’s the sole beneficiary of a stranger’s will, the puzzling legacy is shrouded in mystery. To find the truth behind it, he will travel a violent and treacherous path that leads to devastating consequences—and forces him to resort to his expertise in killing for survival. Venomous The prime minister’s daughter has been abducted, and to gain crucial information from a psychopath nicknamed the Red Serpent, Black must infiltrate one of Scotland’s toughest prisons. Fury A stranger gives Black a book, claiming it holds the key to his wife’s murder. A Hollywood actor filming in Glasgow makes a strange request that throws Black’s life into turmoil. And a long-dormant killer re-emerges with gruesome results. All will entangle Black in his most mysterious case yet . . . Finale Black investigates an old friend’s murder as a favor to his grieving widow—but as he plunges into a mystery involving money laundering and human trafficking, he may go to his own grave without any answers . . .",['Fiction'],['Mystery'],mystery,vWCKEAAAQBAJ,,0,,[],0.0
The Dublin Murder Mysteries Books Four to Six,Valerie Keogh,1504072642,9781504072649,2021,Open Road Media,852,0.0,0,"Three novels in the compelling Irish crime thriller series featuring Detective Garda Sergeant Mike West. These atmospheric police thrillers follow twisting trails of murder, revenge, and intrigue through the suburbs of Dublin. This volume includes: No Memory Lost: Mike West and his partner are shocked to find the small body of a child abandoned in a suitcase. Who is she? No child has been reported missing, and even as their search reaches beyond Ireland’s borders they struggle with the case. Soon another death grabs their attention—and leads them to a stunning realization . . . Previously published as Death in Foxrock No Crime Forgotten: An emergency call from St Monica’s church leads West to a corpse suspended from the beams in front of the altar. The victim’s fingerprints show that the man was just released after serving time for rape. Revenge seems like the obvious motive—but the list of suspects grows as high-level clergy exert pressure and the case takes an unexpected twist. No Easy Answer: Detective Garda Sergeant Mike West just wants to take a break and settle down with his fiancée. But now two new cases have come in: A hit and run in which the victim’s family is acting suspiciously, and a missing woman found dead with the post-mortem suggesting foul play. It only gets worse when human body parts start turning up. Everybody avoids using the words serial killer—but West fears that if he can’t make some progress, someone else is bound to die . . .",['Fiction'],['Mystery'],mystery,L4E6EAAAQBAJ,,0,,[],0.0
A Scandalous Portrait,Callie Hutton,,,2022,Callie Hutton LLC,206,0.0,0,"This book is 100% created by the author. No AI was used. He took one look at the painting and all the air in the room disappeared. . . The Earl of Huntington (Hunt) is a silent partner in a successful gambling hell run by his two brothers. A well-respected member of the ton, he moves about in Society as an unknown agent for the Crown on its most sensitive matters. Lady Diana is a long-time friend of Hunt's with the ability to embroil herself in difficult matters that require his assistance. Once again she needs his help, but this situation could be a major scandal if discovered. Against his better judgment, Hunt agrees to her scheme, but this time the circumstances cause him to view the woman he’d always considered just a friend in a different way. The passion and desire that sparks between them must be squelched since she would never do as his Countess. Scandal follows her every move...",['Fiction'],['Mystery'],mystery,jLSSEAAAQBAJ,,0,,[],0.0
"The Best New True Crime Stories: Crimes of Passion, Obsession & Revenge",Mitzi Szereto,1642506494,9781642506495,2021,Mango Media Inc.,218,0.0,0,"Obsession, Unrequited Love, Jealousy, Revenge, and Violence Collide in this Page-Turning Anthology #1 New Release in Forensic Science Law, Hoaxes & Deceptions, and Forensic Psychology Crimes of passion are both eerie and strangely tantalizing. How can someone you hold dear become someone you fear? This riveting anthology explores the question through some of the most compelling true crime accounts and stories of obsession and vengeance. Crimes fueled by emotions. Love, passion, obsession, jealousy, and betrayal. When it comes to the emotions, people can react in strange and unexpected ways. Whether it’s a heart hurt by unrequited love, or a lover so passionate they’ll stop at nothing to get their way—even the most mild-mannered soul can suddenly flip, becoming a vengeful spirit with dark intentions. From the ancient Greek myth of Jason and Medea to Shakespeare’s Othello, themes dealing with deeply felt emotions have persisted. But unlike mythology or fiction, The Best New True Crime Stories: Crimes of Passion, Obsession & Revenge contains stories from real life. A special selection of stories written exclusively for this book. The Best New True Crime Stories: Crimes of Passion, Obsession & Revenge includes stories from around the world and from different times. As with all titles in the popular The Best New True Crime Stories series, this volume contains original nonfiction accounts penned by writers from across the literary spectrum. Dive into these twisted true tales of passion and unrequited love turned violent. Examine why some have fully embraced their dark side, resorting to crime to achieve their own special brand of satisfaction and retribution. If you enjoyed Mitzi's last book in her series, The Best New True Crime Stories: Well-Mannered Crooks, Rogues & Criminals, and books like You Love Me, and The Big Book of Serial Killers Volume 2, then you’ll love The Best New True Crime Stories: Crimes of Passion, Obsession & Revenge.",['True Crime'],['Mystery'],mystery,uPB8EAAAQBAJ,,0,,[],0.0
The Best New True Crime Stories: Crimes of Famous & Infamous Criminals,Mitzi Szereto,1684811252,9781684811250,2023,Mango Media Inc.,301,0.0,0,"Infamous Criminals Caught in True Crime Cases ""A fascinating read that will haunt you, that will keep you up at night.” ―Aphrodite Jones, author of Cruel Sacrifice and host of the ID series, True Crime with Aphrodite Jones #1 New Release in Mass Murder Biographies & Memoirs Actors, musicians, TV personalities, and other public figures in the spotlight aren’t always who they appear to be. You might be surprised by just how many have led nefarious, double lives, and have become infamous criminals! Power, status, and a rich lifestyle aren’t barriers to criminal behavior. Yes, people from all walks of life commit crimes. But the people featured here are not your typical neighbors or subway passengers—they are household names and Hollywood stars. Get the stories behind these public figures, both contemporary and historical, who have traveled down the murky pathway toward criminal activity. After committing their crimes, the world may have kept on turning, but their legacies as infamous criminals remain strong worldwide. This book offers a fascinating assortment of true crime cases from around the world and from various time frames. Like the previous anthologies in The Best New True Crime Stories series, this volume contains all new and original nonfiction accounts penned by international writers from across the literary spectrum, including true crime, crime fiction, and journalism. Inside, you’ll find: True crime cases that would make any true crime addict scream in delightful horror The stories of Hollywood stars and famous criminals who went down the wrong path Encounters that feature the cases of infamous criminals like Robert Blake, Jimmy Savile, Fatty Arbuckle and more If you enjoyed Mitzi’s last book in her series, The Best New True Crime Stories: Unsolved Crimes & Mysteries, and books like American Predator, and The Family Next Door, then you’ll love The Best New True Crime Stories: Crimes of Famous & Infamous Criminals.",['Social Science'],['Mystery'],mystery,0tO8EAAAQBAJ,,0,,[],0.0
Blowout : A totally gripping thriller full of shocking twists,Colleen Cross,0994846231,9780994846235,2025,Slice Publishing Mystery and Thriller Books,262,0.0,0,"From #1 Bestseller Colleen Cross comes a twisty masterpiece of psychological suspense WHO CAN SHE TRUST? An ancient cult, deadly secrets, and no time to stop the killer. A crime thriller that will leave you breathless as you unlock the secrets and suspense. A Sinister Crime Lies Deep Underwater On private investigator Katerina Carters trip to a remote island aboard a luxurious yacht, she suspects the boats slick and charming owner is hiding a dark secret. With her cunning instinct for sniffing out malevolent cons, Kat tries to warn her friends that something is very wrong with their host and that his moneymaking scheme smells fishy. And why is she only one who thinks hes not being completely honest? While exploring the island, Kat and her friends research the rumors of a sinister cult, the Aquarian Foundation, and search for buried treasure. The cult swindled people out of their money and now the same situation is starting to eerily echo their present circumstances. That is if Kat can prove to the others that if something sounds too good to be true, it usually is. . . When Kats warnings fall on deaf ears, she uncovers a horrifying truth that will place those closest to her in mortal danger. Now its a race against the clock for Kat to expose a killer before he strikes again. ""Heart-pounding suspense!"" - Bestseller Express ""Fantastic blend of crime fiction and romantic suspense..."" - Suspense Review ""Like Origin and the Da Vinci Code? If Dan Brown wrote a sea adventure tautly plotted with arcane mystery and secret cults, this would be it!"" Thriller Bestsellers Blowout is an action-packed legal thriller and sea action adventure novel in the vein of Michael Connelly and John Grisham, teeming with greed, corruption, and conspiracy in the dark waters off the west coast. This stunning crime thriller suspense novel from crime author Colleen Cross will captivate you with psychological suspense, international intrigue and surprising plot twists in the great psychological thriller tradition of Paula Hawkins, Ruth Ware, Greg Iles, Lisa Scottoline and Rachel Caine. A cool female sleuth and private investigator who gets the job done at any cost. Fans of Dan Brown, J. D. Robb, and Heather Graham will love these mysteries. Also by Colleen Cross: Katerina Carter Psychological Legal Thriller Series (Crime and Legal Thrillers) Exit Strategy Game Theory Blowout Greenwash Red Handed Blue Moon Westwick Witches Cozy Mysteries series Witch You Well Rags to Witches Witch and Famous Christmas Witch List Nonfiction (Business and Investing) Anatomy of a Ponzi Scheme: Scams Past and Present These Keywords: legal thriller, ebook, kindle, online books, suspense novels, novel, crime books, crime thriller books, fiction books, courtroom drama authors, crime thriller, new thrillers, 2017 thrillers, crime and thriller books, crime thriller novels, english readers, romantic thriller books, lawyer romance books, latest thrillers, audio books thrillers, thriller ebooks, kindle classic, classic thrillers, recent thrillers, british thriller books, books crime thrillers, financial thrillers, lawyer romance novels, legal romance novels, thriller books pdf, christian thrillers, latest crime thrillers, ebooks in french, pulp thriller, crime thriller, crime books, crime thriller books, crime mystery books, suspense novels, thriller stories, mysterious novels, top crime books, new crime thriller books, new thrillers, 2017 thrillers, murder mystery writers, latest crime thriller books, crime and thriller books, good crime thriller books, crime writers, crime thriller novels, crime thriller books best sellers, top crime thriller books, suspense thriller novels, thriller story books, mystery crime books, crime books fiction, fiction crime books, latest thrillers, crime drama books, thriller story books in english, good thriller books for young adults, good crime mystery books, mystery and crime books, new thrillers, crime thriller authors, british thriller books, mystery authors best sellers, detective story books, good mystery book series, best selling crime thriller books, good books mystery suspense, crime detective books, romantic thriller books, good mystery authors, crime thriller writers, detective thriller movies, new mystery fiction, thriller crime books, crime novelists, crime mystery novels, books crime thrillers, suspense books to read, new suspense novels, detective mystery novels, fiction mystery authors, thriller ebooks, good suspense novels, crime thriller book series, thriller crime, best selling suspense novels, books crime, most popular detective novels, good mystery crime books, reat mystery authors, detective thriller, mystery detective novels, crime mystery thriller books, thriller bestsellers, most popular crime books, top crime mystery books, mystery fiction authors, great detective books, bestsellers thrillers, top crime authors, new crime thrillers, mystery crime stories, suspense fiction books, crime mystery authors, crime detective novels, mystery fiction stories, crime authors, crime mystery, classic thrillers, best detective thrillers, british crime thrillers, john grisham, john grisham new book release date, new john grisham book release date, ebook john grisham, john grisham pdf, john grisham ebooks, john grisham books pdf, john grisham epub, john grisham books download, john grisham books, mystery, mysteries, thriller, thrillers, suspense thriller, heist, kidnapping, blood diamonds, money laundering, forensic accounting, forensic accountant, fraud, white collar crime, crime, female sleuth, private investigators, cartels, wall street, financial thriller, legal thriller, suspense thriller, international mystery thriller, cozy mysteries, cozy murder mystery, cozy mystery books, cozy mystery, cozies, private detective, women sleuths, books, ebooks, vigilante justice, revenge, accounting, finance, auditing, money, legal thriller, crime thriller, forensics, gone girl, girl on the train, paula hawkins, women's murder club, James Patterson, John Grisham, joy fielding, sandra brown, girl on the train, Gillian Flynn, Michael Connelly, Karin Slaughter, Diane Capri, Liane Moriarty, Tess Gerritsen, Greg Iles, Lisa Scottoline, Kathy Reichs, Lee Child, Harlan Coben, Aaron Patterson, Lisa Jackson, Heather Graham, Ryan Casey, Sean Black, patricia cornwell, j a jance, robert brynza, daniel silva, iris johansen, david rosenfeldt, roger stelljes, dennis lehane, tanya anne crosby, john sandford, cj box, david baldacci, sue grafton, kendra elliot, melinda leigh, nelson demille, michael wallace, john sandford, stuart woods, jeffrey deaver, estelle ryan, michael palmer, joanne fluke, iris johansen, stig larson, stig larsson, jo nesbo, john lescroart, jessica knoll, brad thor, vince flynn, scott turow, louise penny, charlaine harris, best sellers, mystery thrillers, colleen, whistleblower, due diligence, hard-boiled, police procedural, suspense, traditional british, women sleuths, true crime, cozy mystery, romantic suspense, technological thriller, suspense, mystery thriller, series, noir, hard-boiled, thriller stories to keep you up all night, thrillers free books, mystery books, mystery and thriller ebooks, detective stories, murder mystery,sweet cozy mysteries, sweet cozy mystery, crime cartel, mysteries, action adventure, crime thriller, thriller books, noir, crime books, suspense books, mysteries, thrillers, best mystery books, best mystery novels, mystery author, mystery series, Canada, Canadian authors, Vancouver, Pacific Northwest, mystery books, mystery novels, mystery novels 2014, murder mystery, murder mysteries, best crime novels, crime fiction, cj lyons, crime thrillers, krimi, fraud investigation, fraud audit, whistleblower, conflict diamonds, whodunit, psychological thriller, adventure thriller, political thriller, psychological thriller, adventure thriller, political thriller, medical thriller, action adventure, mob, cartel, espionage, spy thriller, mafia, blood justice diamonds, bestselling mysteries, bestselling thrillers, buenos aires, vancouver, saskia noort, esther verhoef, cosy, cosies, best sellers, detective stories, 007 , historical mystery, catherine shepherd, steig larsson,best selling books, best sellers books, best seller Keywords: mystery, mysteries, thriller, thrillers, heist, kidnapping, blood diamonds, money laundering, forensic accounting, forensic accountant, fraud, white collar crime, crime, female sleuth, private investigators, cartels, wall street, financial thriller, international mystery thriller, cozy mysteries, cozy murder mystery, cozy mystery books, cozy mystery, cozies, private detective, women sleuths, books, ebooks, vigilante justice, revenge, accounting, finance, auditing, money, legal thriller, crime thriller, forensics, gone girl, girl on a train, paula hawkins, women's murder club, James Patterson, John Grisham, joy fielding, sandra brown, girl on the train, Gillian Flynn, Michael Connelly, Karin Slaughter, Diane Capri, Liane Moriarty, Tess Gerritsen, Greg Iles, Lisa Scottoline, Kathy Reichs, Lee Child, Harlan Coben, Aaron Patterson, Lisa Jackson, Heather Graham, Ryan Casey, Sean Black, patricia cornwell, j a jance, john sandford, cj box, david baldacci, sue grafton, kendra elliot, melinda leigh, nelson demille, michael wallace, john sandford, stuart woods, jeffrey deaver, estelle ryan, michael palmer, joanne fluke, iris johansen, stig larson, stig larsson, jo nesbo, john lescroart, jessica knoll, brad thor, vince flynn, scott turow, louise penny, charlaine harris, best sellers, mystery thrillers, colleen, whistleblower, due diligence, hard-boiled, police procedural, suspense, traditional british, women sleuths, true crime, cozy mystery, romantic suspense, technological thriller, mystery thriller, series, noir, hard-boiled, thriller stories to keep you up all night, thrillers free books, mystery books, mystery and thriller ebooks, detective stories, murder mystery,sweet cozy mysteries, sweet cozy mystery, crime cartel, mysteries, action adventure, crime thriller, thriller books, noir, crime books, suspense books, mysteries, thrillers, best mystery books, best mystery novels, mystery author, mystery series, Canada, Canadian authors, Vancouver, Pacific Northwest, mystery books, mystery novels, mystery novels 2014, murder mystery, murder mysteries, best crime novels, crime fiction, cj lyons, crime thrillers, krimi, fraud investigation, fraud audit, whistleblower, conflict diamonds, whodunit, psychological thriller, adventure thriller, political thriller, psychological thriller, adventure thriller, political thriller, medical thriller, action adventure, mob, cartel, espionage, spy thriller, mafia, blood justice diamonds, bestselling mysteries, bestselling thrillers, buenos aires, vancouver, saskia noort, esther verhoef, cosy, cosies, best sellers, detective stories, 007 , historical mystery, catherine shepherd, steig larsson,best selling books, best sellers books, best seller",['Fiction'],['Mystery'],mystery,r7LaCgAAQBAJ,,0,,[],0.0
Muttley's Tale,Brian L. Porter,,,2022,Next Chapter,176,0.0,0,"Soon after the Porters adopted the former bait dog, Sheba, they decided to add another Staffordshire Bull Terrier to their pack of rescue dogs. A visit to their local rescue sanctuary saw them adopting a six-month old puppy, part of an abandoned litter that had literally been dumped at the gates of the sanctuary. They named him Muttley and he was soon assimilated into their canine family. They were't aware at the time, but poor Muttley had not one, but two unusual psychological problems that would lead to this little boy needing special treatment for the rest of his life. Most importantly, they had to learn to cope with an agoraphobic dog. This beautiful dog was quite simply afraid of wide open spaces! Can you imagine owning a dog that's afraid to go out for walks, or to enjoy running and playing with his packmates? How they learned to cope with Muttley's problem and his secondary issue of being afraid of other dogs is here in his story. Muttley's Tale is a story of love, understanding and patience, as Brian and Juliet gradually learned ways to bring happiness into Muttley's life, at times seemingly against the odds. Muttley is a real character who, despite his problems, has brought fun and laughter to the family.",['Pets'],['Mystery'],mystery,2WeIEAAAQBAJ,,0,,[],0.0
Miss Wrong and Mr Right,Robert Bryndza,1914547217,9781914547218,2023,Raven Street Publishing,327,0.0,0,"The no.1 bestselling romantic comedy from Robert Bryndza. ‘This is men,’ said Gran. ‘When they vant you, but you don’t vant them, they stay. But let them know you vant them, they no longer need you, and they go! It’s like that movie, Nanny McPhee.’ Natalie Love has worked hard to have it all. She runs a successful London theatre that's about to host one of Hollywood's leading stars, Ryan Harrison. She’s pretty sure she’s found her man in yoga boyfriend Benjamin, despite his annoying habit of saying Namaste! every time he speaks. And her eccentric, glamorous Hungarian gran is always on hand to offer sage advice and steaming bowls of goulash. Life in the bright lights of London has always been Natalie's escape from her chaotic family in rural Devon and Jamie, the childhood sweetheart she left at the altar fifteen years ago. Until he turns up at her theatre door... Jamie is in town producing a West End show and with rivalry suddenly clouding old feelings, this isn’t quite the reunion Natalie was expecting. Will Benjamin prove to be Natalie’s perfect match? With Ryan turning her head, Natalie is more confused than ever. And what about Jamie – could he be her second chance at first love? Can Natalie escape her love triangle… before it becomes a wrecktangle?",['Fiction'],['Mystery'],mystery,72XmEAAAQBAJ,,0,,[],0.0
